class_pred,class_real,real_fake_pred,class_name_real,class_name_pred
3,3,0.5792342,EUR,EUR
2,2,0.22940655,EAS,EAS
3,3,0.9099279,EUR,EUR
2,2,0.5900165,EAS,EAS
4,4,0.5429878,AFR,AFR
1,1,0.7536189,SAS,SAS
2,2,0.46217594,EAS,EAS
1,1,0.93394035,SAS,SAS
2,2,0.101198114,EAS,EAS
3,3,0.8136366,EUR,EUR
4,4,0.8995636,AFR,AFR
2,2,0.04843252,EAS,EAS
3,3,0.6950158,EUR,EUR
4,4,0.46975565,AFR,AFR
0,2,0.39910838,EAS,AMR
0,0,0.41160917,AMR,AMR
1,1,0.13078299,SAS,SAS
2,2,0.17655061,EAS,EAS
4,4,0.9247801,AFR,AFR
3,3,0.24765451,EUR,EUR
0,0,0.19872978,AMR,AMR
1,1,0.46286196,SAS,SAS
4,4,0.53994447,AFR,AFR
3,0,0.25107008,AMR,EUR
4,4,0.9369286,AFR,AFR
4,4,0.84686077,AFR,AFR
4,4,0.66904074,AFR,AFR
4,4,0.54831994,AFR,AFR
3,3,0.15203582,EUR,EUR
2,2,0.4393522,EAS,EAS
1,3,0.090020336,EUR,SAS
4,4,0.7751729,AFR,AFR
1,0,0.20013288,AMR,SAS
1,1,0.07116433,SAS,SAS
2,2,0.29048946,EAS,EAS
4,4,0.9253978,AFR,AFR
4,4,0.86675364,AFR,AFR
2,2,0.0970912,EAS,EAS
4,4,0.07130484,AFR,AFR
4,4,0.8830279,AFR,AFR
2,2,0.37798718,EAS,EAS
2,2,0.02653283,EAS,EAS
4,0,0.7833642,AMR,AFR
0,3,0.057716243,EUR,AMR
0,0,0.082358226,AMR,AMR
4,4,0.8766797,AFR,AFR
4,4,0.9487434,AFR,AFR
1,0,0.13257971,AMR,SAS
4,4,0.49066642,AFR,AFR
1,1,0.62344766,SAS,SAS
4,4,0.9119523,AFR,AFR
1,0,0.14189199,AMR,SAS
2,2,0.3168076,EAS,EAS
4,4,0.95489514,AFR,AFR
3,3,0.347999,EUR,EUR
3,3,0.23974036,EUR,EUR
4,4,0.5881103,AFR,AFR
4,4,0.17254066,AFR,AFR
0,3,0.25986803,EUR,AMR
0,0,0.029971063,AMR,AMR
4,4,0.8495906,AFR,AFR
4,4,0.9640621,AFR,AFR
1,1,0.059613433,SAS,SAS
2,2,0.82705414,EAS,EAS
2,2,0.031064693,EAS,EAS
1,1,0.34612277,SAS,SAS
1,3,0.14168671,EUR,SAS
4,4,0.5046138,AFR,AFR
4,4,0.8525884,AFR,AFR
2,2,0.07154385,EAS,EAS
2,2,0.10511495,EAS,EAS
0,3,0.6291015,EUR,AMR
4,4,0.9525048,AFR,AFR
2,2,0.13291371,EAS,EAS
1,1,0.9059402,SAS,SAS
2,2,0.17236556,EAS,EAS
4,4,0.6955592,AFR,AFR
0,3,0.8712543,EUR,AMR
1,1,0.91663903,SAS,SAS
1,1,0.10226877,SAS,SAS
4,4,0.87994146,AFR,AFR
4,4,0.7660008,AFR,AFR
4,4,0.69020516,AFR,AFR
4,4,0.9480617,AFR,AFR
4,4,0.49166083,AFR,AFR
2,2,0.33866984,EAS,EAS
4,0,0.5419051,AMR,AFR
3,3,0.5720501,EUR,EUR
4,4,0.8947569,AFR,AFR
1,1,0.35749945,SAS,SAS
1,3,0.26692584,EUR,SAS
4,4,0.9270721,AFR,AFR
0,0,0.30013153,AMR,AMR
0,3,0.5393342,EUR,AMR
4,4,0.9152113,AFR,AFR
1,1,0.87823725,SAS,SAS
3,3,0.637096,EUR,EUR
2,2,0.15811631,EAS,EAS
3,3,0.4846776,EUR,EUR
2,2,0.05725153,EAS,EAS
2,2,0.04365358,EAS,EAS
4,4,0.90914065,AFR,AFR
1,1,0.040497728,SAS,SAS
4,4,0.8849624,AFR,AFR
4,4,0.7362201,AFR,AFR
1,1,0.6778273,SAS,SAS
4,3,0.4415578,EUR,AFR
3,3,0.5093232,EUR,EUR
0,0,0.44846252,AMR,AMR
2,2,0.097017504,EAS,EAS
0,0,0.8846694,AMR,AMR
4,4,0.09176134,AFR,AFR
0,0,0.07747604,AMR,AMR
4,4,0.81700915,AFR,AFR
0,3,0.4967191,EUR,AMR
1,0,0.112322435,AMR,SAS
0,0,0.060803484,AMR,AMR
4,4,0.70532,AFR,AFR
4,3,0.8420098,EUR,AFR
1,1,0.06080192,SAS,SAS
1,1,0.59624076,SAS,SAS
3,3,0.07029998,EUR,EUR
1,2,0.23091851,EAS,SAS
4,4,0.7377606,AFR,AFR
2,2,0.041158896,EAS,EAS
4,4,0.3847454,AFR,AFR
0,4,0.052531347,AFR,AMR
1,1,0.7555909,SAS,SAS
1,1,0.7204471,SAS,SAS
4,4,0.9520588,AFR,AFR
1,1,0.19805597,SAS,SAS
4,4,0.76313436,AFR,AFR
4,4,0.93022376,AFR,AFR
2,2,0.2296871,EAS,EAS
2,2,0.12558627,EAS,EAS
1,1,0.4849831,SAS,SAS
1,1,0.021181863,SAS,SAS
0,0,0.5321879,AMR,AMR
4,4,0.8732539,AFR,AFR
2,2,0.3890649,EAS,EAS
2,2,0.3722873,EAS,EAS
0,0,0.056977175,AMR,AMR
4,4,0.15312745,AFR,AFR
2,2,0.07499103,EAS,EAS
2,2,0.06870712,EAS,EAS
4,4,0.8262966,AFR,AFR
4,4,0.12042272,AFR,AFR
0,0,0.08694942,AMR,AMR
4,4,0.4332315,AFR,AFR
2,2,0.9117884,EAS,EAS
1,1,0.89535856,SAS,SAS
3,3,0.5888734,EUR,EUR
4,4,0.8928728,AFR,AFR
2,2,0.29196733,EAS,EAS
0,0,0.3231489,AMR,AMR
2,2,0.13451162,EAS,EAS
4,4,0.97937965,AFR,AFR
2,2,0.05681927,EAS,EAS
2,2,0.052094355,EAS,EAS
4,4,0.9089655,AFR,AFR
1,1,0.74436367,SAS,SAS
4,4,0.9272212,AFR,AFR
1,1,0.36746606,SAS,SAS
0,4,0.07025793,AFR,AMR
2,2,0.07516472,EAS,EAS
0,3,0.58634967,EUR,AMR
1,1,0.8596012,SAS,SAS
0,0,0.3202147,AMR,AMR
2,2,0.3871945,EAS,EAS
4,4,0.9343407,AFR,AFR
2,2,0.40848076,EAS,EAS
1,1,0.4046473,SAS,SAS
2,2,0.29211754,EAS,EAS
1,3,0.5663502,EUR,SAS
2,2,0.16815801,EAS,EAS
2,2,0.24750346,EAS,EAS
1,0,0.067465484,AMR,SAS
4,4,0.97447354,AFR,AFR
0,0,0.12792547,AMR,AMR
1,1,0.021001346,SAS,SAS
0,3,0.8129602,EUR,AMR
4,4,0.7053651,AFR,AFR
4,4,0.6531959,AFR,AFR
3,3,0.011550385,EUR,EUR
4,4,0.69676805,AFR,AFR
2,2,0.09063409,EAS,EAS
2,2,0.406329,EAS,EAS
3,0,0.21853542,AMR,EUR
4,4,0.66994375,AFR,AFR
2,2,0.41045433,EAS,EAS
1,3,0.07376136,EUR,SAS
1,1,0.9077959,SAS,SAS
0,0,0.24862768,AMR,AMR
3,3,0.8280447,EUR,EUR
1,1,0.13811855,SAS,SAS
4,4,0.46113458,AFR,AFR
2,2,0.0978348,EAS,EAS
1,2,0.08456633,EAS,SAS
1,1,0.9082069,SAS,SAS
0,0,0.9588139,AMR,AMR
1,1,0.94481355,SAS,SAS
0,3,0.5013042,EUR,AMR
2,2,0.3345343,EAS,EAS
4,4,0.9125577,AFR,AFR
2,2,0.098626755,EAS,EAS
0,0,0.38077372,AMR,AMR
3,3,0.2843305,EUR,EUR
0,0,0.5312673,AMR,AMR
4,4,0.90106636,AFR,AFR
4,4,0.5475015,AFR,AFR
2,1,0.17183308,SAS,EAS
0,3,0.033535063,EUR,AMR
4,4,0.84615093,AFR,AFR
4,4,0.91236424,AFR,AFR
1,1,0.11152399,SAS,SAS
3,3,0.83493197,EUR,EUR
2,2,0.112444766,EAS,EAS
2,2,0.14981216,EAS,EAS
2,2,0.39282146,EAS,EAS
2,2,0.1298827,EAS,EAS
0,3,0.14002724,EUR,AMR
2,2,0.46143025,EAS,EAS
4,4,0.8612532,AFR,AFR
3,3,0.017730644,EUR,EUR
3,0,0.023294076,AMR,EUR
1,1,0.037468527,SAS,SAS
4,4,0.003694088,AFR,AFR
0,0,0.70682144,AMR,AMR
1,0,0.31679034,AMR,SAS
2,2,0.088868186,EAS,EAS
3,3,0.44268864,EUR,EUR
4,4,0.95613366,AFR,AFR
1,1,0.64379126,SAS,SAS
4,4,0.5135078,AFR,AFR
4,4,0.6838663,AFR,AFR
4,4,0.6924704,AFR,AFR
2,2,0.13113336,EAS,EAS
3,3,0.22859919,EUR,EUR
4,4,0.7651139,AFR,AFR
3,0,0.7084181,AMR,EUR
0,0,0.15754332,AMR,AMR
2,2,0.19225585,EAS,EAS
3,3,0.5821938,EUR,EUR
4,4,0.6563444,AFR,AFR
2,2,0.31455094,EAS,EAS
1,1,0.16732845,SAS,SAS
4,4,0.9194923,AFR,AFR
2,2,0.13471813,EAS,EAS
0,3,0.17316541,EUR,AMR
0,0,0.71618086,AMR,AMR
4,4,0.7984188,AFR,AFR
4,0,0.6962627,AMR,AFR
3,3,0.2860203,EUR,EUR
2,2,0.08313455,EAS,EAS
4,4,0.05453559,AFR,AFR
0,2,0.14938544,EAS,AMR
3,3,0.42831686,EUR,EUR
3,3,0.15901183,EUR,EUR
4,4,0.73400843,AFR,AFR
2,2,0.34916714,EAS,EAS
1,3,0.10173229,EUR,SAS
1,1,0.64842784,SAS,SAS
4,4,0.6364606,AFR,AFR
1,0,0.2502845,AMR,SAS
1,1,0.7713817,SAS,SAS
3,3,0.64760214,EUR,EUR
4,4,0.5633497,AFR,AFR
2,2,0.11317951,EAS,EAS
4,4,0.9218337,AFR,AFR
0,3,0.51321346,EUR,AMR
0,3,0.65032595,EUR,AMR
2,2,0.51315933,EAS,EAS
4,4,0.7651007,AFR,AFR
2,2,0.031382024,EAS,EAS
3,3,0.019642318,EUR,EUR
4,4,0.8014434,AFR,AFR
1,1,0.86531025,SAS,SAS
0,3,0.7195187,EUR,AMR
2,2,0.4308176,EAS,EAS
2,2,0.041322306,EAS,EAS
3,3,0.25654766,EUR,EUR
1,1,0.7189348,SAS,SAS
1,1,0.79076296,SAS,SAS
4,4,0.9273505,AFR,AFR
2,2,0.020611623,EAS,EAS
3,3,0.4140393,EUR,EUR
2,2,0.15485914,EAS,EAS
1,1,0.07063519,SAS,SAS
1,1,0.50218445,SAS,SAS
4,0,0.6849294,AMR,AFR
4,4,0.78995425,AFR,AFR
2,2,0.39579132,EAS,EAS
2,2,0.32384312,EAS,EAS
4,4,0.97816783,AFR,AFR
3,3,0.27294967,EUR,EUR
3,3,0.059277095,EUR,EUR
2,2,0.051977,EAS,EAS
1,3,0.03803101,EUR,SAS
3,3,0.38612834,EUR,EUR
2,2,0.04890352,EAS,EAS
1,1,0.5880564,SAS,SAS
3,3,0.8235669,EUR,EUR
4,4,0.94680685,AFR,AFR
4,4,0.68832827,AFR,AFR
4,4,0.8725704,AFR,AFR
2,2,0.25905544,EAS,EAS
4,4,0.40202412,AFR,AFR
3,3,0.5935849,EUR,EUR
3,3,0.5966197,EUR,EUR
4,4,0.97146016,AFR,AFR
3,3,0.8480952,EUR,EUR
4,4,0.90505296,AFR,AFR
4,4,0.94892275,AFR,AFR
4,4,0.32262367,AFR,AFR
2,2,0.36691058,EAS,EAS
2,2,0.28587115,EAS,EAS
1,2,0.10304149,EAS,SAS
1,3,0.21190049,EUR,SAS
0,3,0.63419324,EUR,AMR
1,1,0.150639,SAS,SAS
1,1,0.7799494,SAS,SAS
2,2,0.018405374,EAS,EAS
3,3,0.2420635,EUR,EUR
4,4,0.92992884,AFR,AFR
1,1,0.9334839,SAS,SAS
2,2,0.25635925,EAS,EAS
0,0,0.094119735,AMR,AMR
1,1,0.68999535,SAS,SAS
1,1,0.22410677,SAS,SAS
3,3,0.13157736,EUR,EUR
1,1,0.28314683,SAS,SAS
0,4,0.69868225,AFR,AMR
2,2,0.46558744,EAS,EAS
0,3,0.09531382,EUR,AMR
4,4,0.6111905,AFR,AFR
1,1,0.8356439,SAS,SAS
0,3,0.6299388,EUR,AMR
4,0,0.7868156,AMR,AFR
0,3,0.7919153,EUR,AMR
1,3,0.8709283,EUR,SAS
0,4,0.25252768,AFR,AMR
1,1,0.5072607,SAS,SAS
2,2,0.27404472,EAS,EAS
3,3,0.45857862,EUR,EUR
0,3,0.39582843,EUR,AMR
1,1,0.13140373,SAS,SAS
1,1,0.8303138,SAS,SAS
1,1,0.8621594,SAS,SAS
3,3,0.63262284,EUR,EUR
2,2,0.023390004,EAS,EAS
1,1,0.8751213,SAS,SAS
4,4,0.900911,AFR,AFR
1,1,0.41840106,SAS,SAS
1,1,0.33260128,SAS,SAS
4,4,0.5516526,AFR,AFR
1,1,0.23828703,SAS,SAS
1,1,0.8464529,SAS,SAS
2,2,0.64087874,EAS,EAS
4,4,0.7942567,AFR,AFR
4,4,0.91421604,AFR,AFR
1,1,0.53352946,SAS,SAS
1,1,0.058122743,SAS,SAS
4,4,0.8263505,AFR,AFR
1,1,0.33885273,SAS,SAS
2,2,0.5337119,EAS,EAS
0,3,0.08892259,EUR,AMR
4,4,0.7697334,AFR,AFR
1,0,0.21858844,AMR,SAS
1,1,0.50755304,SAS,SAS
0,3,0.6300013,EUR,AMR
4,4,0.6722413,AFR,AFR
1,0,0.089139536,AMR,SAS
3,3,0.34815395,EUR,EUR
0,0,0.041812245,AMR,AMR
3,3,0.5791966,EUR,EUR
0,0,0.022666628,AMR,AMR
4,4,0.59800345,AFR,AFR
1,1,0.79540473,SAS,SAS
0,0,0.7065366,AMR,AMR
0,2,0.54836786,EAS,AMR
1,0,0.53365487,AMR,SAS
3,0,0.27736163,AMR,EUR
0,3,0.19601071,EUR,AMR
4,4,0.9696811,AFR,AFR
4,4,0.5322544,AFR,AFR
4,4,0.818425,AFR,AFR
0,0,0.8017751,AMR,AMR
2,2,0.6785556,EAS,EAS
1,3,0.038872667,EUR,SAS
2,2,0.07917657,EAS,EAS
4,4,0.9564498,AFR,AFR
1,1,0.6284345,SAS,SAS
3,3,0.45443922,EUR,EUR
2,2,0.64919925,EAS,EAS
3,3,0.458728,EUR,EUR
4,4,0.9105297,AFR,AFR
3,3,0.45825246,EUR,EUR
3,3,0.015706418,EUR,EUR
0,0,0.2038857,AMR,AMR
1,1,0.7170268,SAS,SAS
1,1,0.8977394,SAS,SAS
0,0,0.70892626,AMR,AMR
2,2,0.47646075,EAS,EAS
3,3,0.3068468,EUR,EUR
3,3,0.6565706,EUR,EUR
4,4,0.8877809,AFR,AFR
1,1,0.5829992,SAS,SAS
0,0,0.23979475,AMR,AMR
2,2,0.23953195,EAS,EAS
1,0,0.13703264,AMR,SAS
0,0,0.5301828,AMR,AMR
2,2,0.41838938,EAS,EAS
1,1,0.9181256,SAS,SAS
0,0,0.024619495,AMR,AMR
1,1,0.46827653,SAS,SAS
2,2,0.7218549,EAS,EAS
1,1,0.77411485,SAS,SAS
1,3,0.30048698,EUR,SAS
2,2,0.42483774,EAS,EAS
4,4,0.7269121,AFR,AFR
0,0,0.063862346,AMR,AMR
3,3,0.66247874,EUR,EUR
4,4,0.7289216,AFR,AFR
1,1,0.5742802,SAS,SAS
0,0,0.93377596,AMR,AMR
3,3,0.21418867,EUR,EUR
1,1,0.922523,SAS,SAS
3,0,0.43784064,AMR,EUR
0,3,0.631332,EUR,AMR
1,2,0.24423212,EAS,SAS
2,2,0.189118,EAS,EAS
3,3,0.9079668,EUR,EUR
4,4,0.883043,AFR,AFR
1,1,0.91830784,SAS,SAS
1,1,0.6779857,SAS,SAS
2,2,0.32693136,EAS,EAS
0,0,0.22508514,AMR,AMR
1,1,0.91648185,SAS,SAS
1,1,0.035578467,SAS,SAS
0,0,0.1623645,AMR,AMR
2,2,0.2007772,EAS,EAS
2,2,0.80627257,EAS,EAS
4,4,0.8795518,AFR,AFR
1,1,0.9662534,SAS,SAS
2,2,0.017496737,EAS,EAS
4,4,0.6243164,AFR,AFR
0,3,0.2272429,EUR,AMR
0,3,0.4425648,EUR,AMR
3,0,0.06791637,AMR,EUR
0,0,0.100510485,AMR,AMR
4,4,0.95096904,AFR,AFR
1,0,0.74591446,AMR,SAS
4,4,0.96072197,AFR,AFR
1,1,0.7555817,SAS,SAS
2,2,0.21164404,EAS,EAS
3,3,0.77864885,EUR,EUR
3,3,0.40147585,EUR,EUR
4,4,0.9521461,AFR,AFR
0,0,0.45580864,AMR,AMR
4,4,0.6214125,AFR,AFR
4,4,0.5337165,AFR,AFR
0,0,0.6044355,AMR,AMR
1,1,0.7710636,SAS,SAS
1,4,0.29897878,AFR,SAS
0,3,0.34723797,EUR,AMR
4,4,0.036335293,AFR,AFR
4,4,0.9394189,AFR,AFR
4,4,0.90958744,AFR,AFR
4,4,0.82523346,AFR,AFR
1,0,0.42097893,AMR,SAS
4,4,0.76684535,AFR,AFR
1,1,0.3624185,SAS,SAS
2,2,0.064219885,EAS,EAS
0,0,0.7884274,AMR,AMR
2,2,0.17305772,EAS,EAS
4,4,0.9633912,AFR,AFR
0,3,0.41402605,EUR,AMR
4,4,0.880059,AFR,AFR
2,2,0.117841035,EAS,EAS
3,3,0.683114,EUR,EUR
3,0,0.6301861,AMR,EUR
1,1,0.49182844,SAS,SAS
1,1,0.10604117,SAS,SAS
1,1,0.56959045,SAS,SAS
4,4,0.09026171,AFR,AFR
1,1,0.63398284,SAS,SAS
4,4,0.7528838,AFR,AFR
4,4,0.67152953,AFR,AFR
1,3,0.0072477898,EUR,SAS
1,1,0.25614473,SAS,SAS
4,4,0.8395284,AFR,AFR
1,1,0.6549436,SAS,SAS
0,0,0.75495356,AMR,AMR
0,3,0.048894256,EUR,AMR
4,4,0.7832396,AFR,AFR
4,4,0.9390621,AFR,AFR
2,2,0.08638065,EAS,EAS
1,3,0.77523917,EUR,SAS
1,1,0.14129384,SAS,SAS
1,1,0.31658018,SAS,SAS
1,1,0.010035108,SAS,SAS
1,1,0.12195456,SAS,SAS
4,4,0.89691037,AFR,AFR
4,4,0.9405464,AFR,AFR
0,0,0.23898152,AMR,AMR
4,4,0.87447906,AFR,AFR
3,3,0.54004914,EUR,EUR
1,0,0.08511842,AMR,SAS
1,1,0.6843114,SAS,SAS
2,2,0.1181989,EAS,EAS
2,2,0.5254266,EAS,EAS
0,3,0.5163596,EUR,AMR
1,0,0.549599,AMR,SAS
1,1,0.8712011,SAS,SAS
1,0,0.06964084,AMR,SAS
0,0,0.24506135,AMR,AMR
3,3,0.10128453,EUR,EUR
4,4,0.6396403,AFR,AFR
4,4,0.93913573,AFR,AFR
2,2,0.6325291,EAS,EAS
2,2,0.22884046,EAS,EAS
3,3,0.083439425,EUR,EUR
4,4,0.86707044,AFR,AFR
3,0,0.3417853,AMR,EUR
1,1,0.7083218,SAS,SAS
2,2,0.04536485,EAS,EAS
0,0,0.05573365,AMR,AMR
1,1,0.35993323,SAS,SAS
4,4,0.7124717,AFR,AFR
4,4,0.32074204,AFR,AFR
2,2,0.18674563,EAS,EAS
1,0,0.04944513,AMR,SAS
2,2,0.712991,EAS,EAS
1,1,0.5991853,SAS,SAS
1,0,0.5198432,AMR,SAS
1,1,0.029073322,SAS,SAS
0,0,0.0978833,AMR,AMR
1,2,0.10198602,EAS,SAS
4,4,0.43794492,AFR,AFR
1,1,0.85419774,SAS,SAS
0,3,0.19074893,EUR,AMR
3,3,0.15427162,EUR,EUR
3,3,0.014536337,EUR,EUR
2,2,0.039293393,EAS,EAS
4,4,0.19614321,AFR,AFR
1,1,0.31624207,SAS,SAS
1,2,0.17879905,EAS,SAS
1,1,0.25816506,SAS,SAS
2,2,0.3080234,EAS,EAS
4,4,0.6485049,AFR,AFR
1,1,0.35534754,SAS,SAS
0,0,0.5422753,AMR,AMR
1,1,0.6473696,SAS,SAS
1,1,0.23315196,SAS,SAS
2,2,0.03674887,EAS,EAS
4,4,0.64402604,AFR,AFR
1,3,0.2990276,EUR,SAS
1,1,0.8158795,SAS,SAS
4,4,0.7454804,AFR,AFR
4,4,0.9514657,AFR,AFR
1,1,0.9181725,SAS,SAS
3,3,0.2126054,EUR,EUR
1,0,0.07308664,AMR,SAS
4,4,0.5499853,AFR,AFR
4,4,0.5827871,AFR,AFR
2,2,0.3102027,EAS,EAS
1,3,0.38595343,EUR,SAS
4,4,0.93799096,AFR,AFR
2,2,0.019435594,EAS,EAS
4,4,0.78884625,AFR,AFR
0,3,0.88868135,EUR,AMR
2,2,0.5888485,EAS,EAS
1,1,0.05205913,SAS,SAS
4,4,0.93974,AFR,AFR
2,2,0.24536918,EAS,EAS
2,2,0.24415423,EAS,EAS
2,2,0.2232375,EAS,EAS
0,3,0.48874444,EUR,AMR
3,3,0.19387929,EUR,EUR
4,4,0.755527,AFR,AFR
0,0,0.07007425,AMR,AMR
4,4,0.612356,AFR,AFR
3,3,0.23254776,EUR,EUR
0,0,0.80860656,AMR,AMR
2,2,0.46743715,EAS,EAS
4,0,0.1450906,AMR,AFR
1,1,0.7401318,SAS,SAS
4,4,0.91396356,AFR,AFR
1,1,0.78185076,SAS,SAS
2,2,0.092214726,EAS,EAS
1,3,0.35842943,EUR,SAS
1,1,0.9005542,SAS,SAS
1,1,0.7176277,SAS,SAS
0,0,0.0722362,AMR,AMR
1,1,0.7570479,SAS,SAS
3,3,0.72107047,EUR,EUR
3,3,0.27059782,EUR,EUR
3,0,0.81656635,AMR,EUR
2,2,0.060883377,EAS,EAS
1,1,0.06406668,SAS,SAS
2,2,0.5002309,EAS,EAS
4,4,0.8497648,AFR,AFR
2,2,0.24924004,EAS,EAS
4,4,0.9690417,AFR,AFR
4,4,0.8340854,AFR,AFR
1,1,0.66149426,SAS,SAS
4,4,0.9667506,AFR,AFR
4,4,0.86510175,AFR,AFR
1,1,0.039882757,SAS,SAS
4,4,0.93536097,AFR,AFR
0,0,0.06495975,AMR,AMR
4,4,0.9042704,AFR,AFR
2,2,0.10380592,EAS,EAS
0,3,0.020431701,EUR,AMR
1,1,0.30578592,SAS,SAS
2,2,0.041749485,EAS,EAS
2,2,0.2900067,EAS,EAS
4,4,0.93045676,AFR,AFR
0,0,0.42435238,AMR,AMR
